protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
11	Q9P219	Protein Daple OS=Homo sapiens GN=CCDC88C PE=1 SV=3	CCDC88C	262460.0	0.0173824	25	25	1	1	0	1	1	131L	0.0	63208.8	355909.0	58022.3	4.98881e+06	100686.0	175470.0	1.98555e+06	3.75775e+06	6.49117e+06	0.0	0.00973766	0.0548296	0.00893865	0.768553	0.0155113	0.027032	0.305884	0.578902	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	Q9P215	Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2	POGK	77131.7	0.000755858	43	43	1	1	0	1	1	131L	447975.0	1.07532e+06	981999.0	1.39427e+06	1.90805e+06	2.95996e+06	4.61003e+06	8.72368e+06	9.87433e+06	1.20414e+07	0.0372029	0.0893019	0.081552	0.11579	0.158458	0.245815	0.382849	0.724475	0.820032	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	Q9H3M7	Thioredoxin-interacting protein OS=Homo sapiens GN=TXNIP PE=1 SV=1	TXNIP	50676.9	0.000267023	46	112	4	3	0	4	3	131L	1.18001e+06	3.20879e+06	3.92806e+06	3.4963e+06	1.02498e+07	1.97508e+07	5.09061e+07	7.02531e+07	8.31171e+07	1.12836e+08	0.0104577	0.0284375	0.0348119	0.0309855	0.0908376	0.175039	0.451149	0.62261	0.736615	1.0	0.0164743	0.0417405	0.099187	0.0653673	0.0686127	0.164942	0.178456	0.151021	0.100416	0.0
14	Q14498	RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2	RBM39	67877.7	0.0	60	156	4	3	0	4	3	131L	2.96234e+06	4.15361e+06	4.24735e+06	4.49806e+06	6.07584e+06	1.10721e+07	3.87147e+07	5.93471e+07	6.42388e+07	8.68343e+07	0.0341148	0.0478338	0.0489133	0.0518005	0.0699705	0.127508	0.445845	0.683452	0.739786	1.0	0.0401328	0.0384873	0.03177	0.0531275	0.0656316	0.101837	0.0919535	0.0403274	0.0670565	0.0
15	Q14566	DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1	MCM6	103884.0	0.0	103	1241	60	25	16	39	21	131L	2.21235e+07	3.21778e+07	3.56607e+07	4.40934e+07	2.36285e+08	7.92876e+08	9.44809e+08	8.65025e+08	6.97696e+08	8.38826e+08	0.0263817	0.0383993	0.0425218	0.0526487	0.281844	0.945523	1.12472	1.03131	0.832046	1.0	0.0177459	0.0250339	0.0272479	0.0400314	0.0443358	0.0804254	0.132328	0.0656244	0.0682163	0.0
16	Q9NRH1	Yae1 domain-containing protein 1 OS=Homo sapiens GN=YAE1D1 PE=1 SV=1	YAE1D1	29177.1	0.0	74	121	2	2	0	2	2	131L	538480.0	1.63064e+06	4.37665e+06	7.98966e+06	1.20302e+07	1.61217e+07	2.23418e+07	2.47456e+07	2.20989e+07	2.64775e+07	0.0203373	0.0615858	0.165297	0.301753	0.454357	0.608884	0.843803	0.934591	0.83463	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q86VY4	Testis-specific Y-encoded-like protein 5 OS=Homo sapiens GN=TSPYL5 PE=1 SV=2	TSPYL5	50843.9	0.00208382	36	36	2	1	0	2	1	131L	155908.0	253532.0	399571.0	402326.0	2.10926e+06	8.31572e+06	1.32259e+07	1.40507e+07	1.26709e+07	1.37702e+07	0.0113221	0.0184116	0.029017	0.0292171	0.153176	0.603891	0.960471	1.02037	0.920168	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	Q92522	Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1	H1FX	31869.2	0.0	54	54	2	1	0	2	1	131L	698210.0	1.73825e+06	1.76141e+06	3.57834e+06	5.31725e+06	1.08738e+07	2.22946e+07	2.16254e+07	1.98524e+07	2.77865e+07	0.0251276	0.0625574	0.0633906	0.12878	0.191361	0.391334	0.802354	0.778271	0.71446	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	Q9Y5S9	RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1	RBM8A	22683.7	0.0	60	86	3	2	0	1	1	131L	225407.0	303632.0	916825.0	932731.0	1.41296e+06	4.2504e+06	5.60834e+06	6.52401e+06	6.31391e+06	7.09053e+06	0.0317899	0.0428222	0.129303	0.131546	0.199274	0.599448	0.790962	0.920102	0.890471	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	Q9HCE5	N6-adenosine-methyltransferase subunit METTL14 OS=Homo sapiens GN=METTL14 PE=1 SV=2	METTL14	58875.6	0.00508063	32	112	5	2	2	3	2	131L	3.12207e+06	1.5307e+06	1.79711e+06	2.52137e+06	6.1735e+06	1.22028e+07	1.67209e+07	1.71216e+07	1.26524e+07	1.65273e+07	0.188904	0.0926167	0.108736	0.152558	0.373534	0.738346	1.01172	1.03596	0.76555	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	Q96BT7	Alkylated DNA repair protein alkB homolog 8 OS=Homo sapiens GN=ALKBH8 PE=1 SV=2	ALKBH8	86328.6	0.00190159	38	89	4	3	0	4	3	131L	1.68703e+06	2.51212e+06	3.47108e+06	3.49471e+06	5.54845e+06	7.47025e+06	2.83102e+07	5.65152e+07	5.11699e+07	7.2051e+07	0.0234144	0.0348659	0.0481753	0.0485033	0.0770073	0.10368	0.392918	0.784378	0.710191	1.0	0.0461494	0.051259	0.0526795	0.0635856	0.10227	0.139842	0.108384	0.0973314	0.101715	0.0
22	Q99519	Sialidase-1 OS=Homo sapiens GN=NEU1 PE=1 SV=1	NEU1	48472.6	0.000275938	48	174	5	4	1	4	3	131L	5.32876e+06	5.8316e+06	1.14723e+07	2.47879e+07	2.75346e+07	4.05859e+07	5.15082e+07	6.43531e+07	6.03063e+07	7.29881e+07	0.0730086	0.079898	0.157181	0.339615	0.377248	0.556062	0.705707	0.881693	0.826249	1.0	0.0333733	0.0470585	0.0792322	0.141551	0.113827	0.157666	0.02837	0.0863588	0.148178	0.0
23	C9JQ41|H7C525|Q4VC31	Coiled-coil domain-containing protein 58 OS=Homo sapiens GN=CCDC58 PE=1 SV=1|Coiled-coil domain-containing protein 58 (Fragment) OS=Homo sapiens GN=CCDC58 PE=1 SV=1|Coiled-coil domain-containing protein 58 OS=Homo sapiens GN=CCDC58 PE=1 SV=1	CCDC58	18437.1|19975.1|19816.7	0.0	78	243	11	5	0	11	5	131L	1.03707e+08	2.18373e+08	2.18893e+08	2.73938e+08	2.2335e+08	2.32764e+08	2.07328e+08	1.90405e+08	1.63284e+08	1.66595e+08	0.622149	1.31236	1.3031	1.63875	1.33966	1.39655	1.23998	1.1443	0.980492	1.0	0.145877	0.379504	0.538531	0.476096	0.305587	0.220255	0.184718	0.148592	0.104217	0.0
24	E9PGQ4|Q96RU3	Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=1|Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2	FNBP1	84256.5|85468.3	0.0	68	180	8	5	1	7	5	131L	3.67248e+06	1.04791e+07	9.79646e+06	1.1964e+07	1.49924e+07	3.11209e+07	1.11495e+08	1.82008e+08	1.56536e+08	2.12501e+08	0.0172126	0.0494266	0.0461136	0.0562417	0.0705747	0.146812	0.519902	0.856386	0.739124	1.0	0.021721	0.0506561	0.0304268	0.0444026	0.0481994	0.0819938	0.154448	0.0696259	0.105059	0.0
25	B4E3L3|G3V1N5|Q96RU2	Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP28 PE=1 SV=1|Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28 PE=1 SV=1|Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28 PE=1 SV=1	USP28	118750.0|97335.1|137304.0	0.0	80	142	3	2	1	2	2	131L	1.02134e+06	2.15039e+06	2.50279e+06	2.67423e+06	3.6059e+06	4.29136e+06	1.01505e+07	4.13302e+07	4.88782e+07	7.70079e+07	0.0132628	0.0279243	0.0325004	0.0347268	0.0468251	0.0557262	0.131811	0.536701	0.634717	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	H3BM14|H3BM74|Q9Y5A7	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	NUB1	84190.3|85838.2|82693.5	0.0	87	358	12	7	0	12	7	131L	4.06919e+06	7.09455e+06	8.91517e+06	8.93806e+06	1.34626e+07	1.71307e+07	6.91807e+07	1.84699e+08	2.01596e+08	2.69792e+08	0.0147996	0.0263114	0.033113	0.0331111	0.049596	0.0637412	0.256284	0.68493	0.746981	1.0	0.0270886	0.0437089	0.0398018	0.0504074	0.0531032	0.0523969	0.071841	0.061029	0.0609438	0.0
27	Q9Y5A9	YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHDF2	70487.5	0.0	66	251	14	3	8	6	3	131L	5.98401e+06	9.82648e+06	9.6316e+06	1.58596e+07	2.97267e+07	8.51967e+07	1.72247e+08	1.98282e+08	1.91328e+08	2.34624e+08	0.0252616	0.0420502	0.0400283	0.0676267	0.126699	0.36312	0.735546	0.845934	0.815098	1.0	0.0210906	0.0391655	0.0443374	0.0661683	0.0460626	0.065053	0.0980766	0.0645008	0.0538923	0.0
28	Q96CN9	GRIP and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=GCC1 PE=1 SV=1	GCC1	101964.0	0.0	79	143	3	3	0	3	3	131L	649888.0	1.02887e+06	955841.0	2.17098e+06	1.90971e+07	4.98955e+06	1.11294e+07	4.56213e+07	7.75332e+07	1.15717e+08	0.00561619	0.00889127	0.00826017	0.0187611	0.165033	0.0431186	0.0961775	0.39425	0.670025	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	Q96CN7	Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3	ISOC1	35709.5	0.0	99	560	28	9	5	21	8	131L	8.09433e+06	1.22507e+07	7.52915e+07	1.99828e+08	2.04448e+08	2.53868e+08	3.03391e+08	3.03003e+08	2.42234e+08	2.85351e+08	0.0280767	0.0427753	0.2631	0.697231	0.711101	0.888838	1.06018	1.06082	0.847876	1.0	0.0460244	0.060245	0.0698419	0.274379	0.232717	0.207951	0.159526	0.103928	0.0955996	0.0
30	Q96CN5	Leucine-rich repeat-containing protein 45 OS=Homo sapiens GN=LRRC45 PE=2 SV=1	LRRC45	84037.1	0.0204453	24	24	1	1	1	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	P10644	cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1	PRKAR1A	48224.6	0.0	59	146	5	4	1	4	4	131L	3.76589e+06	5.28147e+06	7.37246e+06	1.30151e+07	2.16525e+07	3.38548e+07	6.36281e+07	7.11103e+07	5.74361e+07	6.72603e+07	0.0559898	0.0785229	0.109611	0.193504	0.321921	0.503339	0.945998	1.05724	0.853938	1.0	0.368549	0.534607	0.105456	0.135615	0.134787	0.0641694	0.145732	0.138959	0.174302	0.0
32	P40425	Pre-B-cell leukemia transcription factor 2 OS=Homo sapiens GN=PBX2 PE=1 SV=2	PBX2	51179.2	0.0	78	182	6	3	0	6	3	131L	1.69588e+06	3.55738e+06	5.63967e+06	5.84824e+06	9.00374e+06	2.00499e+07	4.50692e+07	7.025e+07	6.31181e+07	7.95352e+07	0.0212161	0.0447271	0.0709079	0.0735302	0.111718	0.252089	0.56659	0.882241	0.793588	1.0	0.0239831	0.0618724	0.0570476	0.0558317	0.0694992	0.105266	0.118851	0.118166	0.12239	0.0
33	J3KP27|Q9Y296	Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1	TRAPPC4	21930.5|26959.4	0.0	98	213	10	4	1	9	4	131L	4.61335e+06	6.29024e+06	1.42798e+07	4.64649e+07	5.92503e+07	6.73164e+07	1.07318e+08	1.238e+08	1.08917e+08	1.37445e+08	0.0336557	0.0465128	0.103752	0.336225	0.430042	0.490552	0.778527	0.896635	0.792794	1.0	0.0485966	0.0530644	0.0556701	0.128129	0.0793872	0.0958868	0.125911	0.152843	0.0951692	0.0
34	Q68DS0|Q9UKB1|Q9Y297	F-box/WD repeat-containing protein 1A OS=Homo sapiens GN=DKFZp781N011 PE=2 SV=1|F-box/WD repeat-containing protein 11 OS=Homo sapiens GN=FBXW11 PE=1 SV=1|F-box/WD repeat-containing protein 1A OS=Homo sapiens GN=BTRC PE=1 SV=1	DKFZp781N011|FBXW11|BTRC	71945.2|68748.5|77581.2	0.0	61	61	1	1	0	1	1	131L	202160.0	785344.0	1.73803e+06	1.63186e+06	4.73282e+06	1.00434e+07	1.58885e+07	1.57141e+07	1.5404e+07	2.08152e+07	0.00971213	0.0377293	0.0834979	0.0783977	0.227373	0.482503	0.763311	0.754935	0.740037	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Q9Y294	Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1	ASF1A	24500.2	0.00976438	29	29	1	1	0	1	1	131L	215546.0	264200.0	1.77172e+06	5.80172e+06	1.57359e+07	2.88462e+07	4.08362e+07	4.71195e+07	3.64717e+07	4.1947e+07	0.00513855	0.00629844	0.0422372	0.138311	0.375139	0.687683	0.973521	1.12331	0.869472	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	Q5T7V8	RAB6-interacting golgin OS=Homo sapiens GN=GORAB PE=1 SV=1	GORAB	53099.0	0.00275293	36	36	1	1	0	1	1	131L	331401.0	633069.0	1.36753e+06	909698.0	2.01747e+06	4.46773e+06	1.25308e+07	1.68976e+07	1.48941e+07	1.8216e+07	0.0181928	0.0347534	0.0750727	0.0499394	0.110752	0.245263	0.687897	0.927622	0.817639	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	Q5VU59	Uncharacterized protein OS=Homo sapiens GN=TPM3 PE=1 SV=1	TPM3	32427.5	0.0	98	1045	78	2	70	1	1	131L	3.76505e+06	4.90845e+06	6.01493e+06	6.98803e+06	6.20965e+06	1.00362e+07	9.88817e+06	9.53278e+06	7.75291e+06	1.12604e+07	0.334363	0.435905	0.534169	0.620587	0.551462	0.891286	0.878141	0.846579	0.688514	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Q99614	Tetratricopeptide repeat protein 1 OS=Homo sapiens GN=TTC1 PE=1 SV=1	TTC1	39919.6	0.0	75	266	10	5	0	10	5	131L	4.49756e+07	4.79368e+07	5.51628e+07	1.07923e+08	1.06616e+08	1.20938e+08	1.43041e+08	1.46572e+08	1.23635e+08	1.34528e+08	0.335122	0.355647	0.409299	0.800288	0.791086	0.898789	1.05865	1.08892	0.920717	1.0	0.0943801	0.0957789	0.0870567	0.192011	0.176412	0.121438	0.237136	0.110338	0.117418	0.0
39	O00506	Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1	STK25	56330.6	0.0	82	197	7	1	6	1	1	131L	0.0	0.0	352940.0	340037.0	2.06602e+06	1.13965e+07	2.28717e+07	2.57257e+07	2.02414e+07	2.51005e+07	0.0	0.0	0.0140611	0.013547	0.0823101	0.454035	0.911205	1.02491	0.806416	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	O00505	Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2	KPNA3	64017.1	0.0	64	225	13	2	8	5	2	131L	1.41283e+06	2.52345e+06	2.06194e+06	5.46026e+06	3.53016e+07	6.16814e+07	8.35255e+07	9.67889e+07	7.99271e+07	1.00622e+08	0.0139943	0.0239179	0.0204919	0.0542651	0.350834	0.612195	0.830092	0.961907	0.793487	1.0	0.130209	0.197073	0.0709123	0.0251353	0.0748025	0.0687481	0.133029	0.0868961	0.0622584	0.0
41	Q01581	Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens GN=HMGCS1 PE=1 SV=2	HMGCS1	64473.3	0.0	80	219	10	4	0	10	4	131L	7.32057e+06	1.10673e+07	3.97982e+07	1.20841e+08	1.67443e+08	2.33882e+08	2.66181e+08	2.65828e+08	2.08442e+08	2.52008e+08	0.0299095	0.0452754	0.159165	0.480257	0.66548	0.927633	1.05695	1.05471	0.826865	1.0	0.0468549	0.0750891	0.0727904	0.133162	0.127679	0.0764498	0.0958906	0.0518291	0.0705984	0.0
42	F8VWS0|P05388	60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1|60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1	RPLP0	34503.6|38777.0	0.0	75	228	6	4	0	6	4	131L	2.36561e+06	1.22599e+07	1.21158e+07	2.69738e+07	1.9988e+07	2.33986e+07	5.8078e+07	8.47384e+07	8.29633e+07	1.00551e+08	0.0231395	0.121923	0.120254	0.266889	0.198243	0.23276	0.580437	0.842742	0.825088	1.0	0.0621459	0.0370382	0.0289215	0.0764607	0.0717865	0.132267	0.150895	0.106016	0.192484	0.0
43	Q8IYD1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens GN=GSPT2 PE=1 SV=2	GSPT2	80466.6	0.0	95	522	44	1	43	1	1	131L	0.0	422213.0	1.09337e+06	2.2922e+06	7.58013e+06	1.08199e+07	1.45501e+07	1.23301e+07	1.18172e+07	1.34275e+07	0.0	0.0314438	0.0814275	0.170709	0.564522	0.805803	1.0836	0.918268	0.880073	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	I3L0X5|O75391	Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=1|Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=2	SPAG7	24539.2|32090.5	0.0	65	227	10	5	0	10	5	131L	1.61554e+07	2.06811e+07	2.43397e+07	3.41921e+07	4.62063e+07	6.71842e+07	8.63028e+07	8.98388e+07	7.81636e+07	9.5168e+07	0.166426	0.21086	0.249967	0.346646	0.466956	0.707176	0.905391	0.941272	0.816842	1.0	0.32316	0.422297	0.41664	0.67228	0.937142	0.113006	0.202433	0.175848	0.203013	0.0
45	O75396	Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4	SEC22B	27784.7	0.00977268	29	29	1	1	0	1	1	131L	246161.0	885523.0	857227.0	2.0073e+06	3.02832e+06	3.77312e+06	3.88435e+06	3.7792e+06	4.14383e+06	4.75195e+06	0.051802	0.186349	0.180395	0.422417	0.637279	0.794015	0.817421	0.795294	0.872027	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
46	Q8IVD9	NudC domain-containing protein 3 OS=Homo sapiens GN=NUDCD3 PE=1 SV=3	NUDCD3	46353.6	0.0	71	300	10	7	1	9	7	131L	2.43515e+06	9.54824e+06	1.34891e+07	1.52325e+07	1.54651e+07	3.89963e+07	1.02062e+08	1.30496e+08	1.10009e+08	1.36419e+08	0.0169949	0.0667422	0.0946503	0.105371	0.113755	0.284678	0.74428	0.951858	0.8085	1.0	0.048387	0.200297	0.301935	0.260186	0.0917104	0.135616	0.171571	0.175346	0.0789456	0.0
47	H3BN24|H3BSL4|H3BUJ7|Q66K89	Transcription factor E4F1 (Fragment) OS=Homo sapiens GN=E4F1 PE=4 SV=1|Transcription factor E4F1 OS=Homo sapiens GN=E4F1 PE=1 SV=1|Transcription factor E4F1 OS=Homo sapiens GN=E4F1 PE=1 SV=1|Transcription factor E4F1 OS=Homo sapiens GN=E4F1 PE=1 SV=2	E4F1	34011.1|70793.6|80184.2|93520.6	0.000266951	46	46	1	1	0	1	1	131L	527173.0	674845.0	467065.0	1.43096e+06	1.58922e+06	3.23779e+06	3.79328e+06	4.88676e+06	4.04177e+06	6.80116e+06	0.0775122	0.0992251	0.0686743	0.210399	0.233668	0.476064	0.55774	0.718518	0.594276	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
