protein_group_no	protein_id	description	gene_name	mw	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
13	Q92522	Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1	H1FX	31869.2	0.0	46	46	1	1	0	1	1	131L	0.0	0.0	202056.0	162573.0	394142.0	735149.0	3.09609e+06	2.97164e+06	3.70816e+06	2.51507e+06	0.0	0.0	0.0803379	0.0646395	0.156712	0.292298	1.23101	1.18153	1.47437	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	Q96HA7	Tonsoku-like protein OS=Homo sapiens GN=TONSL PE=1 SV=2	TONSL	160793.0	0.0	86	156	4	3	1	3	3	131L	156079.0	727723.0	1.66018e+06	1.23053e+06	2.11963e+06	2.62208e+06	7.12928e+06	9.21705e+06	2.98455e+07	4.14944e+07	0.00376145	0.0175379	0.0400099	0.0296553	0.0510825	0.0631912	0.171813	0.222128	0.719266	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	H7BZK2|Q9Y5S1	Transient receptor potential cation channel subfamily V member 2 (Fragment) OS=Homo sapiens GN=TRPV2 PE=4 SV=1|Transient receptor potential cation channel subfamily V member 2 OS=Homo sapiens GN=TRPV2 PE=1 SV=1	TRPV2	32416.7|93942.5	0.0	62	62	1	1	0	1	1	131L	0.0	147932.0	312577.0	215499.0	1.3709e+06	2.93476e+06	4.18181e+06	4.60008e+06	6.36251e+06	3.85534e+06	0.0	0.0383707	0.0810764	0.0558963	0.355586	0.761219	1.08468	1.19317	1.65031	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	B4DMI0|Q8WUF8	Protein FAM172A OS=Homo sapiens GN=FAM172A PE=2 SV=1|Protein FAM172A OS=Homo sapiens GN=FAM172A PE=2 SV=1	FAM172A	37079.9|55732.7	0.00889513	30	30	1	1	0	1	1	131L	173143.0	741819.0	1.1249e+06	1.1056e+06	4.33447e+06	5.90439e+06	8.29362e+06	1.14402e+07	1.23134e+07	1.11979e+07	0.0154621	0.0662462	0.100456	0.0987324	0.387078	0.527276	0.74064	1.02164	1.09961	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	Q8WUF5	RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4	PPP1R13L	94648.6	0.0	43	43	1	1	0	1	1	131L	204441.0	302039.0	991349.0	794487.0	2.02171e+06	3.18834e+06	4.84252e+06	5.56968e+06	7.87536e+06	6.11714e+06	0.033421	0.0493758	0.162061	0.129879	0.330499	0.521214	0.791631	0.910504	1.28743	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	Q96BT7	Alkylated DNA repair protein alkB homolog 8 OS=Homo sapiens GN=ALKBH8 PE=1 SV=2	ALKBH8	86328.6	0.013372	27	52	2	2	1	1	1	131L	245458.0	100482.0	1.0031e+06	831481.0	1.34045e+06	1.45003e+06	4.45428e+06	5.68866e+06	7.96626e+06	8.13397e+06	0.0301769	0.0123534	0.123323	0.102223	0.164796	0.178268	0.547614	0.69937	0.979382	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	E9PGQ4|H0Y7W6|Q96RU3	Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=1|Formin-binding protein 1 (Fragment) OS=Homo sapiens GN=FNBP1 PE=1 SV=2|Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2	FNBP1	84256.5|78595.5|85468.3	0.00130514	38	38	2	1	0	2	1	131L	464473.0	808844.0	807289.0	1.89822e+06	2.34233e+06	2.21677e+06	8.59262e+06	1.56093e+07	1.80453e+07	1.8662e+07	0.0248888	0.0433418	0.0432585	0.101716	0.125514	0.118786	0.460435	0.836423	0.966954	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	Q96RU2	Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28 PE=1 SV=1	USP28	137304.0	0.0	81	208	3	3	0	3	3	131L	0.0	240194.0	482906.0	1.19836e+06	1.57266e+06	1.77872e+06	3.56861e+06	1.41386e+07	2.64189e+07	2.67224e+07	0.0	0.00898849	0.0180712	0.0448449	0.0588518	0.0665627	0.133544	0.529093	0.988643	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	H3BM14|H3BM74|Q9Y5A7	NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=1|NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2	NUB1	84190.3|85838.2|82693.5	0.00348345	35	166	7	6	1	6	6	131L	159533.0	822767.0	692915.0	1.50269e+06	1.64824e+06	2.01305e+06	2.0885e+07	7.9841e+07	1.18696e+08	1.13263e+08	0.00136217	0.00720271	0.00610992	0.012729	0.0143956	0.0177733	0.185848	0.706198	1.04797	1.0	0.00424671	0.0181027	0.0178476	0.0288531	0.0502445	0.064363	0.111869	0.121324	0.177162	0.0
22	Q13643	Four and a half LIM domains protein 3 OS=Homo sapiens GN=FHL3 PE=1 SV=4	FHL3	35228.8	0.0	66	212	9	4	1	8	4	131L	1.90607e+07	2.37126e+07	2.23043e+07	2.93054e+07	2.81542e+07	3.34423e+07	3.58183e+07	3.76599e+07	3.95855e+07	3.5719e+07	0.531439	0.646339	0.623451	0.814245	0.785832	0.934249	1.00098	1.04899	1.1092	1.0	1.57438	2.11329	1.83556	0.363512	0.267473	0.193976	0.220836	0.210001	0.163095	0.0
23	Q9Y5A9	YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHDF2	70487.5	0.0	71	150	8	2	4	4	2	131L	326969.0	434644.0	1.02791e+06	2.42384e+06	5.43496e+06	1.36986e+07	3.137e+07	3.9571e+07	4.77698e+07	4.88271e+07	0.00669647	0.0089017	0.0210521	0.0496413	0.11131	0.280553	0.642471	0.81043	0.978345	1.0	0.0205816	0.0172742	0.027084	0.0445035	0.0470072	0.148227	0.0606419	0.124143	0.149638	0.0
24	Q96CN9	GRIP and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=GCC1 PE=1 SV=1	GCC1	101964.0	0.0173536	24	72	3	2	1	2	2	131L	116272.0	180605.0	172458.0	1.28696e+06	1.38954e+06	1.68263e+06	2.37175e+06	8.65958e+06	1.45687e+07	1.81316e+07	0.00641267	0.00996078	0.00951145	0.0709787	0.0766366	0.0928009	0.130808	0.477596	0.8035	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	Q96CN7	Isochorismatase domain-containing protein 1 OS=Homo sapiens GN=ISOC1 PE=1 SV=3	ISOC1	35709.5	0.0	100	473	22	8	3	16	7	131L	4.36183e+06	6.57243e+06	3.26894e+07	9.13499e+07	1.00126e+08	1.0963e+08	1.15662e+08	1.2899e+08	1.40532e+08	1.33658e+08	0.0321339	0.0485336	0.244062	0.678334	0.747431	0.81544	0.86605	0.961453	1.05084	1.0	0.0531603	0.0643162	0.0630976	0.290848	0.266014	0.227163	0.149743	0.143547	0.141223	0.0
26	K7EID3|K7EIE5|K7EJ40|K7EK41|K7EPB2|P10644	cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens GN=PRKAR1A PE=1 SV=2|cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens GN=PRKAR1A PE=1 SV=1|cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens GN=PRKAR1A PE=1 SV=1|cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens GN=PRKAR1A PE=1 SV=1|cAMP-dependent protein kinase type I-alpha regulatory subunit (Fragment) OS=Homo sapiens GN=PRKAR1A PE=1 SV=1|cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1	PRKAR1A	21575.5|20488.9|23215.1|25497.1|38054.2|48224.6	0.0	57	84	2	2	0	2	2	131L	243924.0	651296.0	973123.0	1.42399e+06	2.88694e+06	4.0314e+06	6.58146e+06	8.74479e+06	8.7406e+06	7.62844e+06	0.0319756	0.0853773	0.127565	0.186669	0.378445	0.528469	0.862753	1.14634	1.14579	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	E9PKS9|E9PQE8|J3KP27|Q9Y296	Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1|Trafficking protein particle complex subunit 4 OS=Homo sapiens GN=TRAPPC4 PE=1 SV=1	TRAPPC4	16031.8|21647.6|21930.5|26959.4	0.0	97	266	9	5	1	8	5	131L	1.91784e+06	5.66356e+06	1.25374e+07	3.0903e+07	4.22641e+07	4.19912e+07	6.82639e+07	8.25491e+07	8.67963e+07	8.95973e+07	0.021076	0.0617918	0.137874	0.344081	0.47005	0.467792	0.761896	0.922675	0.968738	1.0	0.0436646	0.133634	0.112367	0.120625	0.104769	0.0621562	0.113737	0.0970689	0.0564632	0.0
28	Q68DS0|Q9UKB1|Q9Y297	F-box/WD repeat-containing protein 1A OS=Homo sapiens GN=DKFZp781N011 PE=2 SV=1|F-box/WD repeat-containing protein 11 OS=Homo sapiens GN=FBXW11 PE=1 SV=1|F-box/WD repeat-containing protein 1A OS=Homo sapiens GN=BTRC PE=1 SV=1	DKFZp781N011|FBXW11|BTRC	71945.2|68748.5|77581.2	0.0214179	23	23	1	1	0	1	1	131L	0.0	213145.0	224744.0	218777.0	1.63596e+06	2.20969e+06	3.62833e+06	3.51788e+06	6.26582e+06	5.87022e+06	0.0	0.0363096	0.0382856	0.0372689	0.278688	0.376423	0.618091	0.599276	1.06739	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	Q9Y294	Histone chaperone ASF1A OS=Homo sapiens GN=ASF1A PE=1 SV=1	ASF1A	24500.2	0.00352379	36	36	3	1	1	2	1	131L	129744.0	440030.0	700184.0	1.98197e+06	2.00682e+07	3.91977e+07	5.1317e+07	5.84789e+07	5.58112e+07	4.75677e+07	0.00272756	0.00925061	0.0147197	0.0416662	0.421888	0.824041	1.07882	1.22938	1.1733	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	Q9Y295	Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1	DRG1	49281.0	0.0	75	422	25	8	2	23	8	131L	2.13703e+06	3.34265e+06	1.1885e+07	4.40247e+07	9.38324e+07	1.31371e+08	1.70907e+08	1.90089e+08	1.99393e+08	1.92489e+08	0.0106803	0.0171182	0.0617531	0.226825	0.483154	0.683924	0.888	0.984204	1.03609	1.0	0.018021	0.0313793	0.0689025	0.296665	0.571593	0.106038	0.083708	0.147599	0.108882	0.0
31	Q6ICB0	Desumoylating isopeptidase 1 OS=Homo sapiens GN=DESI1 PE=1 SV=1	DESI1	19511.1	0.00844476	30	30	1	1	0	1	1	131L	114298.0	447048.0	359853.0	389344.0	1.4852e+06	2.33397e+06	4.44161e+06	1.04562e+07	1.47505e+07	1.51483e+07	0.00754525	0.0295113	0.0237553	0.0257021	0.0980438	0.154075	0.293208	0.690253	0.97374	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	B7Z7M5|C9JPG9|Q5MJ34|Q5MJ35|Q9NUX5|V9GZ00	Protection of telomeres protein 1 OS=Homo sapiens GN=POT1 PE=2 SV=1|Protection of telomeres protein 1 (Fragment) OS=Homo sapiens GN=POT1 PE=4 SV=1|Protection of telomeres protein 1 OS=Homo sapiens GN=POT1 PE=2 SV=1|Protection of telomeres protein 1 OS=Homo sapiens GN=POT1 PE=2 SV=1|Protection of telomeres protein 1 OS=Homo sapiens GN=POT1 PE=1 SV=1|Protection of telomeres protein 1 (Fragment) OS=Homo sapiens GN=POT1 PE=4 SV=1	POT1	73758.5|10648.8|66747.7|42423.6|81246.1|9353.09	0.0	47	47	1	1	0	1	1	131L	280854.0	721247.0	515724.0	373677.0	801214.0	1.06169e+06	2.20041e+06	2.77544e+06	3.48888e+06	3.41622e+06	0.0822118	0.211124	0.150963	0.109383	0.234532	0.310779	0.644105	0.81243	1.02127	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	Q5T7V8	RAB6-interacting golgin OS=Homo sapiens GN=GORAB PE=1 SV=1	GORAB	53099.0	0.00509214	33	33	1	1	0	1	1	131L	226001.0	122623.0	0.0	385241.0	631407.0	966837.0	4.21651e+06	7.26688e+06	7.80579e+06	8.8901e+06	0.0254216	0.0137932	0.0	0.0433337	0.0710236	0.108754	0.474293	0.817412	0.878031	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	O75420	PERQ amino acid-rich with GYF domain-containing protein 1 OS=Homo sapiens GN=GIGYF1 PE=1 SV=2	GIGYF1	126732.0	0.0149385	26	26	1	1	1	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35	Q5VU59	Uncharacterized protein OS=Homo sapiens GN=TPM3 PE=1 SV=1	TPM3	32427.5	0.0	100	939	62	2	57	2	2	131L	3.03992e+06	3.57076e+06	3.10261e+06	3.94665e+06	5.70661e+06	6.53008e+06	7.89352e+06	9.48108e+06	1.09696e+07	9.86716e+06	0.308084	0.361883	0.314438	0.399979	0.578344	0.6618	0.799979	0.960872	1.11173	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	O75427	Leucine-rich repeat and calponin homology domain-containing protein 4 OS=Homo sapiens GN=LRCH4 PE=1 SV=2	LRCH4	77985.1	0.0	51	81	4	1	3	1	1	131L	0.0	164171.0	0.0	208330.0	86803.5	641209.0	539484.0	1.31957e+06	1.52531e+06	1.71367e+06	0.0	0.0958011	0.0	0.121569	0.0506536	0.374174	0.314812	0.770024	0.890084	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37	H0YA55|H7C013|P02768	Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin (Fragment) OS=Homo sapiens GN=ALB PE=1 SV=1|Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	ALB	64305.4|26393.3|85067.0	0.0153542	26	26	1	1	0	1	1	131L	9.31612e+06	1.06318e+07	1.44289e+07	1.44867e+07	1.79389e+07	1.75026e+07	1.9871e+07	2.1509e+07	2.12486e+07	2.17986e+07	0.427372	0.487727	0.66192	0.664571	0.82294	0.802925	0.911573	0.986715	0.974771	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	Q99614	Tetratricopeptide repeat protein 1 OS=Homo sapiens GN=TTC1 PE=1 SV=1	TTC1	39919.6	0.0	70	253	13	5	3	10	5	131L	4.33436e+07	4.88374e+07	4.95324e+07	9.90889e+07	1.05826e+08	1.1711e+08	1.35006e+08	1.34047e+08	1.31944e+08	1.31957e+08	0.327309	0.370558	0.375142	0.750746	0.800272	0.887496	1.02064	1.01851	1.00095	1.0	0.0974039	0.111525	0.104661	0.268743	0.245326	0.27146	0.281147	0.233287	0.210392	0.0
39	H0YDD8|P05387	60S acidic ribosomal protein P2 (Fragment) OS=Homo sapiens GN=RPLP2 PE=1 SV=1|60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RPLP2	11153.9|13949.5	0.0	69	106	3	2	0	3	2	131L	1.12238e+07	5.80635e+06	1.73722e+06	1.44182e+06	1.70115e+06	2.30575e+06	3.69571e+06	4.41436e+06	4.92511e+06	4.66705e+06	2.4049	1.24412	0.372231	0.308937	0.364504	0.494048	0.791874	0.945858	1.0553	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	O00506	Serine/threonine-protein kinase 25 OS=Homo sapiens GN=STK25 PE=1 SV=1	STK25	56330.6	0.0	71	214	10	3	8	2	2	131L	629349.0	1.3358e+06	2.16857e+06	2.52151e+06	4.54114e+06	1.30039e+07	2.35946e+07	2.98614e+07	3.28241e+07	3.39545e+07	0.0185351	0.0393409	0.0638669	0.0742615	0.133742	0.382979	0.694888	0.879454	0.966708	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	O00505	Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2	KPNA3	64017.1	0.0	47	146	8	3	3	5	2	131L	1.12747e+06	3.38904e+06	1.43473e+06	1.29278e+06	1.13829e+07	1.6996e+07	2.53703e+07	2.59381e+07	3.12563e+07	2.9333e+07	0.0363661	0.115537	0.0480549	0.0440726	0.388058	0.579416	0.864907	0.884265	1.06557	1.0	0.183781	0.159823	0.140227	0.0109763	0.247409	0.0787428	0.10026	0.0622697	0.215485	0.0
42	B5ME19|Q99613	Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1|Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1	EIF3CL|EIF3C	123507.0|123378.0	0.0	80	192	5	3	0	5	3	131L	1.61922e+06	1.62116e+06	2.731e+06	3.82438e+06	6.29476e+06	1.03604e+07	4.76271e+07	4.41217e+07	4.46801e+07	4.57638e+07	0.0357219	0.0354245	0.0596759	0.0835679	0.141443	0.226388	1.04137	0.965586	0.976321	1.0	0.0446769	0.0656444	0.0505151	0.0449611	0.116084	0.139784	0.102067	0.164403	0.22833	0.0
43	Q8IYD1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens GN=GSPT2 PE=1 SV=2	GSPT2	80466.6	0.0	117	576	39	1	39	0	0	131L	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
44	I3L0Q5|I3L0X5|I3L4C3|O75391	Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=1|Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=1|Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=1|Sperm-associated antigen 7 OS=Homo sapiens GN=SPAG7 PE=1 SV=2	SPAG7	13416.8|24539.2|27523.0|32090.5	0.0	48	79	2	2	0	2	2	131L	3.85655e+06	4.53129e+06	5.43937e+06	8.93575e+06	1.51437e+07	1.82199e+07	2.26248e+07	2.41047e+07	2.32864e+07	2.01265e+07	0.191616	0.225141	0.270259	0.443979	0.752424	0.905269	1.12413	1.19766	1.157	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	B4DJV2|O75390	Citrate synthase OS=Homo sapiens GN=CS PE=1 SV=1|Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2	CS	56356.9|57865.8	0.0	77	397	23	8	6	16	8	131L	3.52415e+06	5.27748e+06	7.65419e+06	2.29976e+07	7.29033e+07	1.09585e+08	1.52077e+08	1.89485e+08	2.34397e+08	1.92752e+08	0.0179953	0.0271689	0.0401794	0.119437	0.378844	0.565073	0.787149	0.981467	1.21443	1.0	0.020658	0.0307431	0.0628407	0.0535215	0.0852992	0.178262	0.124314	0.135114	0.127693	0.0
